TABLE NAME	SYSTEM FIELD NAME	Count not null	# Missing	% Missing	Unique Values	Used in Data For Model	Updated on Record Creation 	Field Description
ODS_SFBILL_TRANSACTION__C	SFBILL__ROOTCAUSE__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__BILLINGPHONE__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__CUSTSERVICESTATUS__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__CUSTSERVICESUBTYPE__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__CUSTSERVICETYPE__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	CONNECTIONSENTID	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	CONNECTIONRECEIVEDID	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	LASTREFERENCEDDATE	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	LASTVIEWEDDATE	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__BILLINGEMAIL__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__REVPROCESSINGMSG__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__DIVISION__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__BILLINGFAX__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__CUSTSERVICECATEGORY__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	LOCKREQUESTID__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__LEGACYINVOICEID__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	E_INVOICING__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__DELIVERYVIA__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__REASONFORRETURN__C	0	1585685	100	0	N	N	All Null and not used
ODS_SFBILL_TRANSACTION__C	SFBILL__HANDLEDBY__C	3	1585682	100	1	N	N	All Null and not used
